id,buggy-org,buggy,fixed-org,fixed,check1,check2
38740,"private TYPE_1 METHOD_1 ( int VAR_1 , int VAR_2 ) { return ( ( TYPE_1 ) ( VAR_3 . METHOD_2 ( ) . get ( METHOD_3 ( VAR_1 , VAR_2 ) ) ) ) ; } 
","private TYPE_1 METHOD_1 ( int VAR_1 , int VAR_2 ) { return ( ( TYPE_1 ) ( VAR_3 . METHOD_2 ( ) . get ( METHOD_3 ( VAR_1 , VAR_2 ) ) ) ) ; } 
","private TYPE_1 METHOD_1 ( int x , int y ) { return ( ( TYPE_1 ) ( VAR_3 . METHOD_2 ( ) . get ( METHOD_3 ( x , y ) ) ) ) ; } 
","private TYPE_1 METHOD_1 ( int VAR_1 , int VAR_2 ) { return ( ( TYPE_1 ) ( VAR_3 . METHOD_2 ( ) . get ( METHOD_3 ( VAR_1 , VAR_2 ) ) ) ) ; } 
",-2,-2
36090,"public static void METHOD_1 ( java.lang.String id ) { TYPE_1 VAR_1 = new TYPE_1 ( STRING_1 ) ; TYPE_2 VAR_2 = VAR_1 . METHOD_2 ( id ) ; VAR_3 . put ( id , VAR_2 ) ; } 
","public static void METHOD_1 ( java.lang.String VAR_2 ) { TYPE_1 VAR_1 = new TYPE_1 ( STRING_1 ) ; TYPE_2 VAR_2 = VAR_1 . METHOD_2 ( id ) ; VAR_3 . put ( id , VAR_2 ) ; } 
","public static void METHOD_1 ( TYPE_2 VAR_2 ) { VAR_3 . put ( VAR_2 . getId ( ) . toString ( ) , VAR_2 ) ; } 
","public static void METHOD_1 ( TYPE_2 VAR_2 ) { VAR_3 . put ( VAR_2 . getId ( ) . toString ( ) , VAR_2 ) ; } 
",-2,-2
23235,"protected void METHOD_1 ( ) { VAR_1 . METHOD_2 ( data . METHOD_3 ( VAR_2 . getString ( VAR_3 ) ) . getInt ( VAR_4 ) ) ; } 
","protected void METHOD_1 ( ) { VAR_1 . METHOD_2 ( data . METHOD_3 ( VAR_2 . getString ( VAR_3 ) ) . getInt ( VAR_4 ) ) ; } 
","protected void METHOD_1 ( ) { VAR_1 . METHOD_2 ( java.lang.Integer.parseInt ( data . METHOD_3 ( VAR_2 . getString ( VAR_3 ) ) . getString ( VAR_4 ) ) ) ; } 
","protected void METHOD_1 ( ) { VAR_1 . METHOD_2 ( java.lang.Integer.METHOD_2 ( data . METHOD_3 ( VAR_2 . getString ( VAR_3 ) ) . getString ( VAR_4 ) ) ) ; } 
",2,1
10217,"public static TYPE_1 METHOD_1 ( java.lang.String name ) { return TYPE_2 . METHOD_2 ( ( ( ( VAR_1 ) + STRING_1 ) + name ) ) ; } 
","public static TYPE_1 METHOD_1 ( java.lang.String name ) { return TYPE_2 . METHOD_2 ( ( ( ( VAR_1 ) + STRING_1 ) + name ) ) ; } 
","public static TYPE_1 METHOD_1 ( java.lang.String name ) { return TYPE_2 . METHOD_2 ( ( ( VAR_1 ) + name ) ) ; } 
","public static TYPE_1 METHOD_1 ( java.lang.String name ) { return TYPE_2 . METHOD_2 ( ( ( VAR_1 ) + STRING_1 ) ) ; } 
",2,1
25443,"public void METHOD_1 ( ) { int VAR_1 = INT_1 ; TYPE_1 . assertEquals ( VAR_1 , VAR_2 . METHOD_2 ( ) ) ; } 
","public void METHOD_1 ( ) { int VAR_1 = INT_1 ; TYPE_1 . assertEquals ( VAR_1 , VAR_2 . METHOD_2 ( ) ) ; } 
","public void METHOD_1 ( ) { int VAR_1 = INT_1 ; TYPE_1 . assertEquals ( VAR_1 , VAR_2 . getId ( ) ) ; } 
","public void METHOD_1 ( ) { int VAR_1 = INT_1 ; TYPE_1 . assertEquals ( VAR_1 , VAR_2 . METHOD_2 ( ) ) ; } 
",-2,-2
44800,"public boolean METHOD_1 ( TYPE_1 VAR_1 , android.view.View view , int VAR_2 , java.lang.CharSequence text ) { VAR_3 [ 0 ] = text . toString ( ) ; return true ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 , android.view.View view , int VAR_2 , java.lang.CharSequence VAR_3 ) { VAR_3 [ 0 ] = text . toString ( ) ; return true ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 , android.view.View view , int VAR_2 , java.lang.CharSequence VAR_3 ) { return true ; } 
","public boolean METHOD_1 ( TYPE_1 VAR_1 , android.view.View view , int VAR_2 , java.lang.CharSequence VAR_3 ) { return true ; } 
",-1,-2
27750,"public static void init ( android.content.Context context , TYPE_1 VAR_1 ) { VAR_2 = context ; VAR_3 = TYPE_2 . METHOD_1 ( context ) ; VAR_4 = TYPE_2 . METHOD_2 ( VAR_1 ) ; } 
","public static void init ( android.content.Context context , TYPE_1 VAR_1 ) { VAR_2 = context ; VAR_3 = TYPE_2 . METHOD_1 ( context ) ; VAR_4 = TYPE_2 . METHOD_2 ( VAR_1 ) ; } 
","public static void init ( android.content.Context context ) { VAR_2 = context ; VAR_3 = TYPE_2 . METHOD_1 ( context ) ; VAR_4 = TYPE_2 . METHOD_2 ( context ) ; } 
","public static void init ( android.content.Context context ) { VAR_2 = context ; VAR_3 = TYPE_2 . METHOD_1 ( context ) ; VAR_4 = TYPE_2 . METHOD_2 ( VAR_1 ) ; } 
",-2,-2
33733,"public static void METHOD_1 ( ) { if ( ! ( VAR_1 . METHOD_2 ( ) ) ) { VAR_2 = VAR_1 . METHOD_3 ( ) ; VAR_2 . METHOD_1 ( ) ; } } 
","public static void METHOD_1 ( ) { if ( ! ( VAR_1 . METHOD_2 ( ) ) ) { VAR_2 = VAR_1 . METHOD_3 ( ) ; VAR_2 . METHOD_1 ( ) ; } } 
","public static void METHOD_1 ( ) { if ( ! ( VAR_1 . isEmpty ( ) ) ) { VAR_2 = VAR_1 . METHOD_3 ( ) ; VAR_2 . METHOD_1 ( ) ; } } 
","public static void METHOD_1 ( ) { if ( ! ( VAR_1 . METHOD_2 ( ) ) ) { VAR_2 = VAR_1 . METHOD_3 ( ) ; VAR_2 . METHOD_1 ( ) ; } } 
",-2,-1
33005,"public void METHOD_1 ( TYPE_1 VAR_1 ) { METHOD_2 ( VAR_1 ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) { METHOD_2 ( VAR_1 ) ; } 
","public void METHOD_1 ( TYPE_1 event ) { METHOD_2 ( event ) ; } 
","public void METHOD_1 ( TYPE_1 VAR_1 ) { METHOD_2 ( VAR_1 ) ; } 
",-2,-2
40409,"private java.lang.String METHOD_1 ( java.lang.String value , java.lang.String VAR_1 ) { if ( value == null ) { return VAR_1 ; } else if ( STRING_1 . METHOD_2 ( STRING_1 ) ) { return VAR_1 ; } return value ; } 
","private java.lang.String METHOD_1 ( java.lang.String value , java.lang.String VAR_1 ) { if ( value == null ) { return VAR_1 ; } else if ( STRING_1 . METHOD_2 ( STRING_1 ) ) { return VAR_1 ; } return value ; } 
","private java.lang.String METHOD_1 ( java.lang.String value , java.lang.String VAR_1 ) { if ( value == null ) { return VAR_1 ; } else if ( STRING_1 . METHOD_2 ( value ) ) { return VAR_1 ; } return value ; } 
","private java.lang.String METHOD_1 ( java.lang.String value , java.lang.String VAR_1 ) { if ( value == null ) { return VAR_1 ; } else if ( STRING_1 . METHOD_2 ( STRING_1 ) ) { return VAR_1 ; } return value ; } 
",-2,-2
